,GRE_Q_V,Status,GPA,GRE_AW
263,,Rejected,3.50,
264,324.0,Accepted,3.95,3.0
265,,Interview,,
266,,Rejected,,
267,,Interview,,
268,,Rejected,,
269,323.0,Wait,3.70,
270,,Rejected,3.63,
271,323.0,Rejected,3.70,
272,,Interview,3.94,
273,,Interview,,
274,,Interview,,
275,,Rejected,,
276,,Rejected,3.92,
277,,Rejected,,
278,,Rejected,,
279,,Rejected,3.94,
280,,Wait,,
281,,Rejected,,
282,,Accepted,3.94,
283,,Rejected,,
284,,Accepted,,
285,,Interview,,
286,,Wait,3.70,
287,322.0,Interview,3.41,5.0
288,,Accepted,4.00,
289,,Wait,,
290,,Interview,3.78,
291,,Interview,,
292,,Interview,3.57,
293,,Accepted,3.57,
294,332.0,Rejected,,
295,,Accepted,,
296,,Interview,3.57,
297,,Interview,3.57,
298,,Accepted,,
299,,Rejected,,
300,,Accepted,3.93,
301,,Accepted,4.00,
302,307.0,Accepted,3.50,4.0
303,,Interview,,
304,,Rejected,3.34,
305,,Rejected,,
306,,Accepted,,
307,,Accepted,,
308,,Rejected,,
309,,Wait,,
310,321.0,Accepted,3.41,3.0
311,,Interview,3.50,
312,326.0,Rejected,3.70,4.5
313,,Accepted,3.95,
314,,Wait,,
315,,Rejected,3.80,
316,,Interview,3.95,
317,,Rejected,3.88,
318,,Interview,,
319,,Accepted,,
320,,Accepted,4.00,
321,,Wait,,
322,,Rejected,,
323,,Rejected,4.00,
324,,Rejected,,
325,,Accepted,,
326,,Interview,,
327,,Interview,,
328,,Interview,,
329,,Interview,3.72,
330,,Accepted,,
331,,Wait,,
332,,Accepted,,
333,,Rejected,,
334,329.0,Wait,3.73,4.0
335,,Accepted,,
336,,Interview,3.30,
337,,Interview,,
338,,Wait,,
339,,Accepted,,
340,,Accepted,3.78,
341,,Interview,,
342,,Rejected,4.00,
343,,Interview,3.80,
344,,Rejected,3.60,
345,,Accepted,,
346,,Accepted,,
347,,Interview,,
348,,Rejected,,
349,,Accepted,3.81,
350,,Interview,3.30,
351,,Rejected,,
352,,Rejected,,
353,,Rejected,,
354,,Rejected,,
355,400.0,Rejected,8.00,10.0
356,,Interview,3.50,
357,,Rejected,4.00,
358,,Rejected,,
359,,Accepted,3.90,
360,,Interview,,
361,,Interview,,
362,,Rejected,,
363,,Interview,,
364,,Rejected,,
365,,Accepted,,
366,,Accepted,,
367,,Accepted,,
368,,Accepted,,
369,,Interview,,
370,,Wait,,
371,,Accepted,3.97,
372,,Interview,3.85,
373,,Rejected,,
374,,Rejected,,
375,,Accepted,3.95,
376,,Accepted,,
377,,Rejected,3.90,
378,,Interview,,
379,,Interview,3.92,
380,,Interview,3.92,
381,,Accepted,3.92,
382,,Interview,,
383,,Interview,,
384,,Interview,,
385,,Wait,,
386,,Accepted,3.11,
387,,Accepted,,
388,,Accepted,,
389,,Accepted,3.90,
