,School Name,School Loc,Acc Rate,Rej Rate,Int Rate,School City,State
149,University of Colorado--Boulder,"Boulder, CO",0.41920830629461386,0.42667099286177806,0.011680726800778715,Boulder, CO
150,University of Colorado--Denver,"Denver, CO",0.4367559523809524,0.45982142857142855,0.004464285714285714,Denver, CO
151,University of Connecticut,"Storrs, CT",0.4267942583732057,0.3598086124401914,0.027751196172248804,Storrs, CT
152,University of Dayton,"Dayton, OH",0.4257602862254025,0.46332737030411447,0.01967799642218247,Dayton, OH
153,University of Delaware,"Newark, DE",0.45875343721356554,0.37534372135655364,0.010999083409715857,Newark, DE
154,University of Denver,"Denver, CO",0.2916666666666667,0.2042079207920792,0.46782178217821785,Denver, CO
155,University of Florida,"Gainesville, FL",0.41182078169685415,0.3315538608198284,0.03813155386081983,Gainesville, FL
156,University of Georgia,"Athens, GA",0.4039598108747045,0.25177304964539005,0.27984633569739953,Athens, GA
157,University of Hartford,"West Hartford, CT",0.44590495449949447,0.2537917087967644,0.2295247724974722,West Hartford, CT
158,University of Hawaii--Manoa,"Honolulu, HI",0.4384920634920635,0.4107142857142857,0.04365079365079365,Honolulu, HI
159,University of Houston,"Houston, TX",0.3278553820870994,0.3582580115036976,0.004108463434675432,Houston, TX
160,University of Idaho,"Moscow, ID",0.3741258741258741,0.48951048951048953,0.1048951048951049,Moscow, ID
161,University of Illinois--Chicago,"Chicago, IL",0.37915543575920935,0.41868823000898475,0.004941599281221923,Chicago, IL
162,University of Illinois--Urbana-Champaign,"Champaign, IL",0.3246180500866278,0.30303984879508583,0.01055284296739644,Champaign, IL
163,University of Iowa,"Iowa City, IA",0.44593895499224007,0.3786859803414382,0.09699948266942576,Iowa City, IA
164,University of Kansas,"Lawrence, KS",0.45933819405496357,0.3853056646102075,0.07908020190689849,Lawrence, KS
165,University of Kentucky,"Lexington, KY",0.4388888888888889,0.43333333333333335,0.01888888888888889,Lexington, KY
166,University of La Verne,"La Verne, CA",0.40054869684499317,0.40877914951989025,0.013717421124828532,La Verne, CA
167,University of Louisville,"Louisville, KY",0.4793956043956044,0.2967032967032967,0.14354395604395603,Louisville, KY
168,University of Maine,"Orono, ME",0.40083251714005874,0.46841332027424093,0.01628305582761998,Orono, ME
169,University of Maryland--Baltimore County,"Baltimore, MD",0.4715447154471545,0.41192411924119243,0.023035230352303523,Baltimore, MD
170,University of Maryland--College Park,"College Park, MD",0.45755341274342975,0.35961429381735677,0.023444885611646815,College Park, MD
171,University of Massachusetts--Amherst,"Amherst, MA",0.42608222161720666,0.27144023958616936,0.018785733732643615,Amherst, MA
172,University of Massachusetts--Boston,"Boston, MA",0.2834507042253521,0.6602112676056338,0.0035211267605633804,Boston, MA
173,University of Massachusetts--Dartmouth,"North Dartmouth, MA",0.358695652173913,0.5652173913043478,0.010869565217391304,North Dartmouth, MA
174,University of Massachusetts--Lowell,"Lowell, MA",0.2977941176470588,0.4632352941176471,0.007352941176470588,Lowell, MA
175,University of Miami,"Coral Gables, FL",0.36206193969030154,0.30277098614506925,0.018948655256723717,Coral Gables, FL
176,University of Michigan--Ann Arbor,"Ann Arbor, MI",0.418296320848525,0.27461054027179316,0.023864766324163077,Ann Arbor, MI
177,University of Minnesota--Twin Cities,"Minneapolis, MN",0.4719027988717726,0.3122152310696463,0.14558472553699284,Minneapolis, MN
178,University of Mississippi,"University, MS",0.36816720257234725,0.5096463022508039,0.00964630225080386,University, MS
179,University of Missouri,"Columbia, MO",0.44691607684529827,0.4246713852376138,0.011122345803842264,Columbia, MO
180,University of Missouri--Kansas City,"Kansas City, MO",0.3897058823529412,0.46691176470588236,0.003676470588235294,Kansas City, MO
181,University of Missouri--St. Louis,"St. Louis, MO",0.4209354120267261,0.5144766146993318,0.012249443207126948,St. Louis, MO
182,University of Montana,"Missoula, MT",0.5954292773316863,0.2958616429894997,0.0592958616429895,Missoula, MT
183,University of Nebraska--Lincoln,"Lincoln, NE",0.43378119001919385,0.46705054382597566,0.017914267434420986,Lincoln, NE
184,University of Nevada--Reno,"Reno, NV",0.43731778425655976,0.48250728862973763,0.007288629737609329,Reno, NV
185,University of New Hampshire,"Durham, NH",0.2038404726735598,0.24519940915805022,0.5096011816838996,Durham, NH
186,University of New Mexico,"Albuquerque, NM",0.3498992612491605,0.48153122901276024,0.006044325050369375,Albuquerque, NM
187,University of North Carolina--Chapel Hill,"Chapel Hill, NC",0.4093237032173342,0.3357846355876559,0.06053841103086014,Chapel Hill, NC
188,University of North Carolina--Charlotte,"Charlotte, NC",0.4521591871295512,0.4555461473327688,0.01947502116850127,Charlotte, NC
189,University of North Carolina--Greensboro,"Greensboro, NC",0.41166525781910396,0.5333896872358411,0.006762468300929839,Greensboro, NC
190,University of North Dakota,"Grand Forks, ND",0.4389312977099237,0.4599236641221374,0.04198473282442748,Grand Forks, ND
191,University of Notre Dame,"Notre Dame, IN",0.220971989466124,0.21402920756523822,0.4606176681829064,Notre Dame, IN
192,University of Oklahoma,"Norman, OK",0.3985872855701312,0.496468213925328,0.011099899091826439,Norman, OK
193,University of Oregon,"Eugene, OR",0.4480753253946275,0.37441152035447245,0.09443367488230407,Eugene, OR
194,University of Pennsylvania,"Philadelphia, PA",0.33773245350929815,0.30026721928341604,0.1068331788187817,Philadelphia, PA
195,University of Pittsburgh,"Pittsburgh, PA",0.41805266805266805,0.39535689535689533,0.05336105336105336,Pittsburgh, PA
196,University of Rhode Island,"Kingston, RI",0.39226914817465997,0.4853256979241231,0.01789549033643522,Kingston, RI
197,University of Rochester,"Rochester, NY",0.4411452810180276,0.27836691410392367,0.1283138918345705,Rochester, NY
198,University of San Diego,"San Diego, CA",0.38085827216261997,0.23800112930547712,0.29474872953133824,San Diego, CA
199,University of San Francisco,"San Francisco, CA",0.4090909090909091,0.17727272727272728,0.29545454545454547,San Francisco, CA
200,University of South Carolina,"Columbia, SC",0.3887832699619772,0.3650190114068441,0.007287705956907478,Columbia, SC
201,University of South Dakota,"Vermillion, SD",0.4628930817610063,0.3937106918238994,0.06415094339622641,Vermillion, SD
202,University of South Florida,"Tampa, FL",0.37823834196891193,0.5002355157795573,0.019783325482807347,Tampa, FL
203,University of Southern California,"Los Angeles, CA",0.38665328650275965,0.3391871550426493,0.061615654791771196,Los Angeles, CA
204,University of Southern Mississippi,"Hattiesburg, MS",0.44932432432432434,0.48817567567567566,0.015202702702702704,Hattiesburg, MS
205,University of St. Thomas,"St. Paul, MN",0.38596491228070173,0.48771929824561405,0.07368421052631578,St. Paul, MN
206,University of Tennessee,"Knoxville, TN",0.3928449744463373,0.23066439522998297,0.3212947189097104,Knoxville, TN
207,University of Texas--Austin,"Austin, TX",0.34008810572687226,0.25926578560939795,0.16352422907488987,Austin, TX
208,University of Texas--Dallas,"Richardson, TX",0.325,0.34555555555555556,0.006111111111111111,Richardson, TX
209,University of Tulsa,"Tulsa, OK",0.42366107114308554,0.3764988009592326,0.013589128697042365,Tulsa, OK
210,University of Utah,"Salt Lake City, UT",0.4309545875810936,0.45023169601482854,0.023911028730305837,Salt Lake City, UT
211,University of Vermont,"Burlington, VT",0.4427083333333333,0.4041666666666667,0.01597222222222222,Burlington, VT
212,University of Virginia,"Charlottesville, VA",0.3462173314993122,0.2581843191196699,0.010729023383768913,Charlottesville, VA
213,University of Washington,"Seattle, WA",0.4290651145871226,0.3437613677700982,0.07584576209530738,Seattle, WA
214,University of Wisconsin--Madison,"Madison, WI",0.42748492001049043,0.32048255966430633,0.01993181222134802,Madison, WI
215,University of Wyoming,"Laramie, WY",0.4692874692874693,0.15315315315315314,0.27927927927927926,Laramie, WY
216,University of the Pacific,"Stockton, CA",0.42668621700879766,0.45356793743890517,0.01710654936461388,Stockton, CA
217,Utah State University,"Logan, UT",0.5255166596372839,0.39687895402783635,0.05061155630535639,Logan, UT
218,Vanderbilt University,"Nashville, TN",0.28021349599695006,0.21197102554327107,0.26972931757529545,Nashville, TN
219,Villanova University,"Villanova, PA",0.37825278810408924,0.3763940520446097,0.03438661710037175,Villanova, PA
220,Virginia Commonwealth University,"Richmond, VA",0.38855054811205847,0.5188794153471377,0.02192448233861145,Richmond, VA
221,Virginia Tech,"Blacksburg, VA",0.38631422359537704,0.33596521341114544,0.009268795056642637,Blacksburg, VA
222,Wake Forest University,"Winston-Salem, NC",0.38375350140056025,0.3165266106442577,0.04201680672268908,Winston-Salem, NC
223,Washington State University,"Pullman, WA",0.40907155025553665,0.45017035775127767,0.05706984667802385,Pullman, WA
224,Washington University in St. Louis,"St. Louis, MO",0.30900956494908977,0.2989817957420549,0.011107682813946312,St. Louis, MO
225,West Virginia University,"Morgantown, WV",0.4267942583732057,0.46507177033492825,0.022966507177033493,Morgantown, WV
226,Western Michigan University,"Kalamazoo, MI",0.3695299837925446,0.420097244732577,0.00713128038897893,Kalamazoo, MI
227,Widener University,"Chester, PA",0.41015402167712495,0.44209925841414716,0.04164289788933257,Chester, PA
228,Worcester Polytechnic Institute,"Worcester, MA",0.3989821882951654,0.3826972010178117,0.0366412213740458,Worcester, MA
229,Yale University,"New Haven, CT",0.3606395127521888,0.3090216977540921,0.19162542824514656,New Haven, CT
230,Yeshiva University,"New York, NY",0.40034071550255534,0.43100511073253833,0.03492333901192504,New York, NY
