,Rank,GPA,Degree,Citizenship,Term,Date,Status,Major,School,GRE_Q,GRE_V,GRE_AW,Publications,RA_TA,Funding
86,44,2.18,PhD,American,Fall 2024,2024-01-29,Accepted,Human Ecology PhD - Design Studies, University Of Wisconsin-Madison,157.0,155.0,4.0,0.0,0.0,0.0
87,44,,PhD,International,Fall 2024,2024-01-29,Accepted,Human Ecology PhD-Design Studies, University Of Wisconsin-Madison,,,,0.0,0.0,0.0
93,54,,PhD,International,Fall 2024,2024-01-29,Rejected,Neuroscience, University Of Washington,,,,0.0,0.0,0.0
94,54,,PhD,American,Fall 2024,2024-01-29,Rejected,Environmental Health Sciences, University Of Washington,,,,0.0,0.0,0.0
95,54,3.91,PhD,American,Fall 2024,2024-01-29,Accepted,Applied Mathematics, University Of Washington,,,,0.0,0.0,0.0
96,54,,PhD,International,Fall 2024,2024-01-29,Accepted,Applied Mathematics, University Of Washington,,,,0.0,0.0,0.0
97,56,3.40,PhD,American,Fall 2024,2024-01-29,Rejected,Clinical Psychology, George Washington University,,,,0.0,0.0,0.0
98,56,4.00,PhD,International,Fall 2024,2024-01-29,Accepted,History, George Washington University,,,,0.0,0.0,0.0
99,56,3.77,PhD,American,Fall 2024,2024-01-29,Accepted,Chemistry, George Washington University,,,,0.0,0.0,0.0
106,60,3.60,PhD,International,Fall 2024,2024-01-29,Rejected,"Learning, Leadership And Educational Policy", University Of Connecticut,,,,0.0,0.0,0.0
109,66,,Masters,,Fall 2024,2024-01-29,Interview,Applied Mathematics, Ryerson University,,,,0.0,0.0,0.0
110,66,4.00,,American,Fall 2024,2024-01-29,Interview,School-Clinical Child Psychology, Yeshiva University,166.0,159.0,4.5,0.0,0.0,0.0
112,68,3.82,PhD,International,Fall 2024,2024-01-29,Interview,Ethnomusicology, University Of Pittsburgh,,,,0.0,0.0,0.0
113,68,3.77,PhD,American,Fall 2024,2024-01-29,Accepted,Chemistry, University Of Pittsburgh,,,,0.0,0.0,0.0
131,86,,PhD,American,Fall 2024,2024-01-29,Rejected,Astronomy, Indiana University Bloomington,,,,0.0,0.0,0.0
132,86,,PhD,International,Fall 2024,2024-01-29,Interview,East Asian Languages And Cultures, Indiana University Bloomington,,,,0.0,0.0,0.0
134,86,,PhD,American,Fall 2024,2024-01-29,Interview,"Affective, Social And Cognitive Psychology", University Of Denver,,,,0.0,0.0,0.0
137,92,3.70,PhD,International,Fall 2024,2024-01-29,Interview,Applied Linguistics, Georgia State University,159.0,161.0,4.0,0.0,0.0,0.0
143,96,,PhD,International,Fall 2024,2024-01-29,Accepted,Art History, SUNY Stony Brook,,,,0.0,0.0,0.0
156,111,,PhD,International,Fall 2024,2024-01-29,Accepted,Political Science, Ohio State University,,,,0.0,0.0,0.0
157,111,3.90,PhD,International,Fall 2024,2024-01-29,Accepted,Political Science, Ohio State University,165.0,165.0,5.0,0.0,0.0,0.0
158,111,,PhD,American,Fall 2024,2024-01-29,Accepted,Political Science, Ohio State University,160.0,160.0,5.0,0.0,0.0,0.0
159,111,,PhD,International,Fall 2024,2024-01-29,Wait,Philosophy, Arizona State University,,,,0.0,0.0,0.0
163,111,3.95,Masters,International,Fall 2024,2024-01-29,Rejected,History, University Of Oklahoma,,,,0.0,0.0,0.0
170,118,,PhD,International,Fall 2024,2024-01-29,Rejected,Linguistics, University Of Kansas,,,,0.0,0.0,0.0
192,143,3.40,PhD,American,Fall 2024,2024-01-29,Rejected,Clinical Psychology, Oregon State University,,,,0.0,0.0,0.0
200,152,4.00,PhD,International,Fall 2024,2024-01-29,Accepted,Computer Science, University Of Illinois,,,,1.0,0.0,0.0
201,152,,PhD,International,Fall 2024,2024-01-29,Interview,Biostatistics, IUPUI,,,,0.0,0.0,0.0
233,183,3.40,PhD,American,Fall 2024,2024-01-29,Rejected,Clinical Psychology, University Of Minnesota,,,,0.0,0.0,0.0
234,183,,PhD,International,Fall 2024,2024-01-29,Accepted,Sociology, University Of Maryland,,,,0.0,0.0,30.0
235,183,,PhD,American,Fall 2024,2024-01-29,Accepted,Sociology, University Of Maryland,,,,0.0,0.0,0.0
269,214,3.40,PhD,American,Fall 2024,2024-01-29,Rejected,Clinical Psychology, University Of Montana,,,,0.0,0.0,0.0
